Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Frankfort Town PD,12,City,4752,0,0,frankfort town police department,4,22,0,26,-75.07203,43.03436,Herkimer,12,19
Jefferson County Sheriff,12,County,67464,12,12,jefferson county sheriff's office,10,190,0,200,-75.9277,43.9728,Jefferson,12,19
Watertown City PD,12,City,24624,12,12,watertown police department,181,975,0,1156,-75.92827302,43.97298842,Jefferson,12,19
Adams Vg PD,12,City,1706,0,0,adams vlg police dept,0,3,0,3,-76.0250533,43.8075111,Jefferson,12,18
Alexandria Bay Vg PD,12,City,1023,0,0,alexandria bay vlg police dept,0,3,0,3,-75.9177309,44.3358836,Jefferson,12,19
Brownville Vg PD,12,City,1076,0,0,brownville village pd brownville,0,2,0,2,-76.01598,44.0449586,Jefferson,9.157894737,19
Dexter Vg PD,12,City,992,0,0,dexter vlg police dept,0,2,0,2,-76.04645,44.009114,Jefferson,11.64705882,17
Glen Park Vg PD,12,City,469,0,0,glen park village rd watertown,0,1,0,1,-75.9107565,43.9747838,Jefferson,12,16
Cape Vincent Vg PD,12,City,689,0,0,cape vincent village police department,0,1,0,1,-76.2942507,44.1165751,Jefferson,12,16
West Carthage Vg PD,12,City,1925,0,0,west carthage police dept,1,11,0,12,-75.6151927,43.9742346,Jefferson,9.933333333,15
Clayton Vg PD,12,City,1816,0,0,clayton village police department,0,3,0,3,-76.08431,44.239671,Jefferson,11.94444444,18
Sackets Harbor Vg PD,12,City,1391,0,0,sacketts harbor vlg police dept,0,0,0,0,-76.1190929,43.9461707,Jefferson,12,14
Black River Vg PD,12,City,1229,0,0,black river village pd black river,0,3,0,3,-75.7943671,44.0125639,Jefferson,7.714285714,14
nan,,City,772,0,0,theresa village pd theresa,0,0,0,0,-75.797097,44.215905,Jefferson,,
Carthage Vg PD,12,City,3250,0,0,carthage village police department,4,53,0,57,-75.60899,43.977211,Jefferson,12,19
nan,,Other State Agency,0,0,0,thousand is st pk & rec comm pd alexandria bay,0,0,0,0,-75.9177309,44.3358836,Jefferson,,
Lewis County Sheriff,12,County,22747,12,12,lewis county sheriff's office,3,21,0,24,-75.5009,43.779,Lewis,12,19
Lowville Vg PD,12,City,3297,0,0,lowville village police department,2,8,0,10,-75.4844634,43.7966463,Lewis,12,19
Livingston County Sheriff,12,County,38801,8,10,livingston county sheriff's office,16,118,0,134,-77.8367282,42.7576923,Livingston,12,19
Avon Vg PD,,City,3272,0,0,avon village police department,0,0,0,0,-77.74632,42.9109443,Livingston,12,16
Caledonia Vg PD,,City,2083,0,0,caledonia village police department,0,2,0,2,-77.854827,42.973612,Livingston,12,18
Geneseo Vg PD,12,City,8130,0,0,geneseo village police department,1,75,0,76,-77.8166351,42.7951716,Livingston,12,19
Mount Morris Vg PD,12,City,2765,0,0,mount morris village police department,5,51,0,56,-77.872551,42.724218,Livingston,12,19
Dansville Vg PD,12,City,4341,0,0,dansville village police department,2,53,0,55,-77.696106,42.5608999,Livingston,11.73684211,19
Nunda Town and Vg PD,,City,2871,0,0,nunda town & village police department,0,0,0,0,-77.942503,42.5795085,Livingston,11.52941176,17
Madison County Sheriff,12,County,43099,0,0,madison county sheriff's office,20,100,1,120,-75.706499,43.079906,Madison,12,19
Oneida City PD,12,City,10849,0,12,oneida police department,67,481,1,548,-75.6524968,43.095697,Madison,12,19
Oneida County Sheriff,12,County,78748,12,12,oneida county sheriff's office,47,,1,,-75.3767285,43.1559399,Oneida,12,19
Cazenovia Vg PD,12,City,2851,0,0,cazenovia village police department,2,20,0,22,-75.8526915,42.9300668,Madison,12,19
Hamilton Vg PD,12,City,4077,0,0,hamilton village police department,0,5,0,5,-75.557037,42.842714,Madison,11.89473684,19
Canastota Vg PD,12,City,4518,0,0,canastota village police department,6,35,0,41,-75.7518391,43.077744,Madison,9.315789474,19
Chittenango Vg PD,5,City,4826,0,0,chittenango village police department,3,19,0,22,-75.86658,43.0450671,Madison,12,19
Monroe County Sheriff,12,County,236185,12,12,monroe county sheriff's office,134,2018,0,2152,-77.6039186,43.2550676,Monroe,12,19
Rochester City PD,12,City,205199,0,12,rochester police department,1680,7039,48,8719,-77.6116,43.152,Monroe,12,19
Irondequoit Town PD,12,City,49889,10,11,irondequoit town police department,0,0,0,0,-77.5797226,43.2133955,Monroe,12,19
East Rochester Vg PD,12,City,6476,12,12,east rochester village police department,7,72,0,79,-77.4874959,43.1086741,Monroe,12,19
Fairport Vg PD,12,City,5300,12,12,fairport village police department,2,28,0,30,-77.4419378,43.0986742,Monroe,12,19
Brockport Vg PD,12,City,8142,12,12,brockport village police department,10,52,0,62,-77.9391797,43.2136713,Monroe,12,19
Brighton Town PD,12,City,35853,12,12,brighton town police department,34,705,0,739,-77.575902,43.126804,Monroe,11.89473684,19
Gates Town PD,7,City,28222,0,0,gates town police department,65,731,0,796,-77.69419971,43.14923493,Monroe,12,19
Greece Town PD,12,City,95431,12,12,greece town police department,150,1714,2,1864,-77.6930602,43.2097837,Monroe,12,19
Ogden Town PD,12,City,20603,12,12,ogden town police department,11,156,0,167,-77.802826,43.17041,Monroe,12,19
Webster Town and Vg PD,12,City,45449,12,12,webster town police department,27,367,0,394,-77.457746,43.209645,Monroe,12,19
Montgomery County Sheriff,12,County,25113,12,11,montgomery county sheriff's office,6,238,0,244,-74.3325,42.9338,Montgomery,12,19
Amsterdam City PD,12,City,17675,0,0,amsterdam police department,37,284,0,321,-74.1906738,42.938343,Montgomery,12,19
Canajoharie Vg PD,12,City,2122,0,0,canajoharie village police department,1,14,0,15,-74.5718073,42.9056288,Montgomery,9.0625,16
Fort Plain Vg PD,12,City,2212,0,0,fort plain village police department,8,52,0,60,-74.6226425,42.9314616,Montgomery,11.94736842,19
St Johnsville Vg PD,12,City,1668,0,0,saint johnsville village police department,1,15,0,16,-74.6781003,43.0012346,Montgomery,10.52631579,19
Nassau County PD,12,County,1053945,0,0,nassau county police department,1304,8610,14,9914,-73.5594128,40.6546145,Nassau,12,19
Glen Cove City PD,12,City,27186,0,0,glen cove police department,3,108,0,111,-73.6315221,40.863201,Nassau,12,19
Long Beach City PD,12,City,33461,0,0,long beach police department,13,46,0,59,-73.666382,40.589559,Nassau,12,19
Floral Park Vg PD,12,City,15844,0,0,floral park village police department,10,61,0,71,-73.7048532,40.7237133,Nassau,12,19
Freeport Vg PD,,City,42962,0,7,freeport village police department,73,263,1,336,-73.5831835,40.6576022,Nassau,11.94736842,19
Garden City Vg PD,12,City,22465,0,0,garden city village police department,5,243,0,248,-73.6342954,40.7267682,Nassau,12,19
Hempstead Vg PD,12,City,55230,12,12,hempstead village police department,357,571,8,928,-73.6229361,40.7103658,Nassau,12,19
Lynbrook Vg PD,12,City,19441,0,0,lynbrook village police department,15,115,0,130,-73.6717969,40.6548253,Nassau,12,19
Rockville Centre Vg PD,12,City,24604,0,0,rockville centre police department,14,106,0,120,-73.6433192,40.6586305,Nassau,12,19
Great Neck Estates Vg PD,11,City,2892,0,0,great neck estates village police department,1,8,0,9,-73.7367983,40.7870459,Nassau,12,18
Sands Point Vg PD,12,City,2919,0,0,sands point village police department,1,12,0,13,-73.718742,40.8517669,Nassau,11.78947368,19
Malverne Vg PD,12,City,8482,0,0,malverne village police department,0,16,0,16,-73.6740191,40.6789916,Nassau,11.89473684,19
Kensington Vg PD,12,City,1193,0,0,kensington village police department,0,0,0,0,-73.73024,40.7907,Nassau,11.91666667,12
Old Westbury Vg PD,12,City,4603,12,12,old westbury village police department,1,21,0,22,-73.5995717,40.7887113,Nassau,12,19
Kings Point Vg PD,12,City,5315,0,0,kings point village police department,0,12,0,12,-73.7351316,40.8198231,Nassau,11.63157895,19
Centre Island Vg PD,,City,409,0,0,centre island village police department,0,1,0,1,-73.5198453,40.9017651,Nassau,11.77777778,18
Port Washington Police District,12,City,19391,0,0,port washington police district,8,115,0,123,-73.6981858,40.8256561,Nassau,11.63157895,19
Lake Success Vg PD,12,City,3161,0,0,lake success village police department,0,14,0,14,-73.7090428,40.7698453,Nassau,12,19
Old Brookville Vg PD,12,City,2196,0,0,old brookville village police department,1,47,0,48,-73.6048493,40.8320441,Nassau,11.94736842,19
Oyster Bay Cove Vg PD,12,City,4300,0,0,oyster bay cove village police department,0,17,0,17,-73.5109566,40.8709319,Nassau,11.94736842,19
nan,,City,8300377,0,0,new york city police department,47959,129361,468,177320,-74.0059728,40.7127753,-,,
nan,,Other State Agency,0,0,0,nys park police new york city region,0,0,0,0,-74.0059728,40.7127753,-,,
nan,,Other,0,0,0,metro north rr pd metro transit auth new york,0,0,0,0,-74.0059728,40.7127753,Niagara,,
Niagara County Sheriff,12,County,79559,12,12,niagara county sheriff's office,28,542,0,570,-78.7476208,43.3119496,Niagara,12,19
Lockport City PD,5,City,20212,0,0,lockport police department,116,491,0,607,-78.6956544,43.1695835,Niagara,12,19
Niagara Falls City PD,12,City,47474,12,12,niagara falls police department,369,1951,9,2320,-79.0525793,43.1061727,Niagara,12,19
North Tonawanda City PD,12,City,30104,12,12,north tonawanda police department,37,331,0,368,-78.8699787,43.029534,Niagara,12,19
Middleport Vg PD,12,City,1733,0,0,middleport village police department,1,11,0,12,-78.4764143,43.2125581,Niagara,12,19
Youngstown Vg PD,12,City,1871,12,6,youngstown vlg police dept,0,1,0,1,-79.04677569,43.25075266,Niagara,10.73684211,19
