Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Northville Vg PD,10.0,City,1048,0,0,northville village police department,0.0,3.0,0.0,3.0,-74.423678,43.115609,Fulton,12.0,17.0
Genesee County Sheriff,12.0,County,37985,11,11,genesee county sheriff's office,26.0,234.0,0.0,260.0,-78.192778,43.00091,Genesee,12.0,19.0
Batavia City PD,12.0,City,14278,12,12,batavia police department,64.0,345.0,0.0,409.0,-78.192778,43.00091,Genesee,12.0,19.0
LeRoy Vg PD,3.0,City,4246,0,0,le roy village police department,1.0,18.0,0.0,19.0,-78.192778,43.00091,Genesee,12.0,19.0
Greene County Sheriff,12.0,County,25316,0,0,greene county sheriff's office,11.0,26.0,0.0,37.0,-74.149554,42.286964,Greene,11.526315789473685,19.0
Athens Vg PD,,City,1590,0,0,athens village police department,0.0,0.0,0.0,0.0,-74.149554,42.286964,Greene,12.0,11.0
Catskill Vg PD,12.0,City,3787,0,0,catskill village police department,6.0,71.0,0.0,77.0,-74.149554,42.286964,Greene,12.0,19.0
Coxsackie Vg PD,12.0,City,2655,0,0,coxsackie village police department,0.0,1.0,0.0,1.0,-74.149554,42.286964,Greene,12.0,19.0
Windham Town PD,12.0,City,1672,0,0,windham town police department,0.0,5.0,0.0,5.0,-74.149554,42.286964,Greene,12.0,19.0
Hunter Town PD,12.0,City,2620,0,0,hunter town police department,0.0,20.0,0.0,20.0,-74.149554,42.286964,Greene,9.75,16.0
Durham Town PD,12.0,City,2648,0,0,durham town police dept,0.0,1.0,0.0,1.0,-74.149554,42.286964,Greene,12.0,18.0
Cairo Town PD,12.0,City,6390,0,0,cairo town police department,3.0,40.0,0.0,43.0,-74.149554,42.286964,Greene,12.0,19.0
Hamilton County Sheriff,12.0,County,4041,0,0,hamilton county sheriff's office,0.0,10.0,0.0,10.0,-74.502456,43.657879,Hamilton,12.0,19.0
Inlet Town PD,12.0,City,301,0,0,inlet town police department,1.0,4.0,0.0,5.0,-74.502456,43.657879,Hamilton,11.947368421052632,19.0
Herkimer County Sheriff,,County,27783,0,0,herkimer county sheriff's office,0.0,0.0,0.0,0.0,-74.841097,43.571009,Herkimer,12.0,16.0
Frankfort Vg PD,12.0,City,2409,0,0,frankfort village police department,3.0,7.0,0.0,10.0,-74.841097,43.571009,Herkimer,11.947368421052632,19.0
Ilion Vg PD,12.0,City,7613,12,12,ilion village police department,28.0,195.0,0.0,223.0,-74.841097,43.571009,Herkimer,12.0,19.0
Mohawk Vg PD,12.0,City,2507,0,0,mohawk police department,2.0,23.0,0.0,25.0,-74.841097,43.571009,Herkimer,10.833333333333334,12.0
Herkimer Vg PD,12.0,City,7212,0,0,herkimer village police department,10.0,289.0,0.0,299.0,-74.841097,43.571009,Herkimer,11.842105263157896,19.0
Dolgeville Vg PD,12.0,City,2055,0,0,dolgeville village police department,1.0,20.0,0.0,21.0,-74.841097,43.571009,Herkimer,12.0,19.0
Little Falls City PD,12.0,City,4604,0,0,little falls police department,12.0,63.0,1.0,75.0,-74.841097,43.571009,Herkimer,12.0,19.0
Webb Town PD,12.0,City,1779,0,0,webb town police department,0.0,1.0,0.0,1.0,-74.841097,43.571009,Herkimer,7.636363636363637,11.0
Frankfort Town PD,12.0,City,4752,0,0,frankfort town police department,4.0,22.0,0.0,26.0,-74.841097,43.571009,Herkimer,12.0,19.0
Jefferson County Sheriff,12.0,County,67464,12,12,jefferson county sheriff's office,10.0,190.0,0.0,200.0,-76.053514,43.995371,Jefferson,12.0,19.0
