agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info
City,36065,yorkville village police department,2556,0,0,0,0,0,0,0,-75.434282,43.242727,
City,36065,oriskany vlg police dept,1321,0,0,0,0,7,0,7,-75.434282,43.242727,
City,36065,new york mills village police department,3200,0,0,0,2,44,0,46,-75.434282,43.242727,
City,36065,new hartford town police department,20173,12,1,12,18,467,0,485,-75.434282,43.242727,
City,36065,whitestown town police department,8948,0,0,0,0,20,0,20,-75.434282,43.242727,
City,36065,kirkland town police department,8323,0,0,0,0,0,0,0,-75.434282,43.242727,
County,36067,onondaga county sheriff's office,174528,0,0,0,219,1689,1,1908,-76.196117,43.00653,
City,36067,syracuse police department,142011,0,0,0,1192,4057,32,5249,-76.196117,43.00653,
City,36067,jordan village police department,1294,0,0,0,0,3,0,3,-76.196117,43.00653,
City,36067,solvay village police department,6196,0,0,0,14,66,0,80,-76.196117,43.00653,
City,36067,baldwinsville village police department,7895,0,0,0,4,51,0,55,-76.196117,43.00653,
City,36067,manlius town police department,24139,0,0,0,15,261,0,276,-76.196117,43.00653,
City,36067,marcellus vlg police dept,1707,0,0,0,0,7,0,7,-76.196117,43.00653,
City,36067,liverpool village police department,2191,0,0,0,0,10,0,10,-76.196117,43.00653,
City,36067,skaneateles village police department,2466,0,0,0,0,21,0,21,-76.196117,43.00653,
City,36067,north syracuse village police department,6607,0,0,0,15,109,0,124,-76.196117,43.00653,
City,36067,camillus town and village police department,24098,0,0,0,13,266,0,279,-76.196117,43.00653,
City,36067,cicero town police department,28755,0,0,0,14,291,0,305,-76.196117,43.00653,
City,36067,dewitt town police department,24947,0,0,0,46,725,0,771,-76.196117,43.00653,
City,36067,geddes town police department,10002,0,0,0,6,176,0,182,-76.196117,43.00653,
Other State Agency,36067,nys park police central region,0,0,0,0,0,0,0,0,-76.196117,43.00653,
County,36069,ontario county sheriff's office,81092,0,0,0,58,708,1,766,-77.303277,42.856695,
City,36069,geneva police department,12569,0,0,0,38,173,0,211,-77.303277,42.856695,
City,36069,clifton springs village police department,1993,0,0,0,0,0,0,0,-77.303277,42.856695,
City,36069,manchester vlg police dept,1603,0,0,0,0,0,0,0,-77.303277,42.856695,
City,36069,phelps vlg police dept,1889,0,0,0,0,0,0,0,-77.303277,42.856695,
City,36069,canandaigua police department,10112,0,0,0,37,220,1,257,-77.303277,42.856695,
County,36071,orange county sheriff's office,63383,0,0,0,2,15,0,17,-74.306252,41.40241,
City,36071,middletown police department,28194,12,1,12,90,385,1,475,-74.306252,41.40241,
City,36071,newburgh city police department,28095,0,0,0,285,724,4,1009,-74.306252,41.40241,
City,36071,washingtonville village police department,5755,0,0,0,2,30,0,32,-74.306252,41.40241,
City,36071,chester village police department,4108,0,1,12,2,13,0,15,-74.306252,41.40241,
City,36071,cornwall-on-hudson village police department,2911,0,0,0,0,21,0,21,-74.306252,41.40241,
City,36071,goshen village police department,5361,0,0,0,2,21,0,23,-74.306252,41.40241,
City,36071,highland falls village police department,3822,0,0,0,0,11,0,11,-74.306252,41.40241,
City,36071,monroe village police department,8609,0,0,0,3,97,0,100,-74.306252,41.40241,
City,36071,montgomery vlg police dept,4617,0,0,0,0,6,0,6,-74.306252,41.40241,
City,36071,walden village police department,6666,12,1,12,1,26,0,27,-74.306252,41.40241,
City,36071,maybrook village police department,3773,6,1,12,0,5,0,5,-74.306252,41.40241,
City,36071,greenwood lake village police department,3080,0,1,11,3,19,0,22,-74.306252,41.40241,
City,36071,florida village police department,2931,0,0,0,0,2,0,2,-74.306252,41.40241,
City,36071,port jervis police department,8526,12,1,12,22,117,0,139,-74.306252,41.40241,
City,36071,tuxedo park village police department,598,0,0,0,0,0,0,0,-74.306252,41.40241,
City,36071,harriman village police department,2455,0,0,0,1,17,0,18,-74.306252,41.40241,
City,36071,mount hope town police department,6625,0,0,0,3,14,0,17,-74.306252,41.40241,
City,36071,cornwall town police department,9538,0,0,0,2,4,0,6,-74.306252,41.40241,
City,36071,highlands town police dept,8329,0,0,0,0,0,0,0,-74.306252,41.40241,
City,36071,newburgh town police department,31691,0,0,0,46,766,4,812,-74.306252,41.40241,
City,36071,tuxedo town police department,2969,0,0,0,0,0,0,0,-74.306252,41.40241,
City,36071,new windsor town police department,27980,0,0,0,20,299,0,319,-74.306252,41.40241,
City,36071,woodbury town police department,11133,0,0,0,6,180,0,186,-74.306252,41.40241,
City,36071,warwick town police department,18459,0,0,0,9,72,0,81,-74.306252,41.40241,
City,36071,deerpark town police department,7732,12,1,12,4,39,0,43,-74.306252,41.40241,
City,36071,blooming grove town police department,11822,0,0,0,5,105,0,110,-74.306252,41.40241,
City,36071,montgomery town police department,9222,0,0,0,0,8,0,8,-74.306252,41.40241,
City,36071,crawford town police department,9210,0,0,0,2,21,0,23,-74.306252,41.40241,
City,36071,chester town police department,8095,0,0,0,0,7,0,7,-74.306252,41.40241,
City,36071,wallkill town police department,29159,0,0,0,49,630,0,679,-74.306252,41.40241,
City,36071,goshen town police department,8938,12,1,12,1,18,0,19,-74.306252,41.40241,
County,36073,orleans county sheriff's office,26849,0,0,0,12,84,0,96,-78.229726,43.502287,
City,36073,albion village police department,5698,0,0,0,24,147,0,171,-78.229726,43.502287,
City,36073,holley village police department,1669,0,0,0,1,9,0,10,-78.229726,43.502287,
City,36073,medina village police department,5613,0,0,0,14,80,0,94,-78.229726,43.502287,
County,36075,oswego county sheriff's office,81507,12,1,12,35,260,0,295,-76.209258,43.461443,
City,36075,fulton police department,11017,0,0,0,9,258,0,267,-76.209258,43.461443,
City,36075,oswego police department,17138,12,1,12,41,453,0,494,-76.209258,43.461443,
