agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36089,norfolk town police dept,4380,0,0,0,1,1,0,2,-74.98689,44.79917,,St. Lawrence
County,36091,saratoga county sheriff's office,171244,12,1,12,66,890,0,956,-73.8736274,43.0201976,,Saratoga
City,36091,saratoga springs police department,28397,0,0,0,53,453,1,506,-73.784045,43.0832466,,Saratoga
City,36091,ballston spa village police department,5204,0,0,0,0,39,0,39,-73.8490111,43.0009086,,Saratoga
City,36091,mechanicville police department,5018,0,0,0,13,41,0,54,-73.685286,42.9036899,,Saratoga
City,36091,south glens falls village police department,3647,0,0,0,5,28,0,33,-73.6351168,43.2992389,,Saratoga
Other State Agency,36091,nys park police saratoga/capital region,0,0,0,0,0,0,0,0,-73.7485195,42.669682,,Saratoga
City,36091,waterford town police department,8466,0,0,0,3,17,0,20,-73.678697,42.790465,,Saratoga
City,36091,galway vlg police dept,190,0,0,0,,,,,-74.055834,43.027298,,Cattaraugus
City,36091,stillwater town police dept,7340,0,0,0,1,14,0,15,-73.6531731,42.9384101,,Saratoga
City,36093,schenectady police department,7446,0,1,12,468,1652,5,2120,-73.9369093,42.8145774,,Schenectady
County,36093,schenectady county sheriff's office,65176,12,1,12,4,10,0,14,-73.9399962,42.8099415,,Schenectady
City,36093,scotia village police department,7631,0,0,0,7,146,0,153,-73.9638118,42.8268917,,Schenectady
City,36093,glenville town police department,21609,0,0,0,12,313,0,325,-74.0520717,42.9292419,,Schenectady
City,36093,niskayuna town police department,22428,0,0,0,18,422,0,440,-73.8914407,42.8000049,,Schenectady
City,36093,rotterdam town police department,30071,0,1,12,35,715,0,750,-73.9709583,42.7870209,,Schenectady
County,36095,schoharie county sheriff's office,25492,0,1,12,4,37,0,41,-74.3718947,42.6889725,,Schoharie
City,36095,cobleskill village police department,4323,0,0,0,19,126,0,145,-74.4854172,42.677853,,Schoharie
